placa,hora_ingreso,hora_salida,peso_deposito,razon_social,municipio,tipo_residuo,tiempo_operacion_min
ODT904,2021-06-02 10:11:50,2021-06-02 11:00:10,6020,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,48.333333333333336
ODT904,2021-06-04 14:52:54,2021-06-04 15:33:35,5660,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,40.68333333333333
ODT904,2021-06-08 14:56:22,2021-06-08 15:51:46,3200,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,55.4
ODT904,2021-06-11 16:37:52,2021-06-11 17:43:30,5940,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,65.63333333333334
ODT904,2021-06-16 09:39:47,2021-06-16 10:08:49,6200,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,29.033333333333335
ODT904,2021-06-18 14:02:12,2021-06-18 14:32:57,6110,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,30.75
ODT904,2021-06-23 05:59:56,2021-06-23 06:22:06,3640,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.166666666666668
ODT904,2021-06-25 14:27:37,2021-06-25 14:54:59,5330,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,27.366666666666667
ODT904,2021-06-30 10:22:11,2021-06-30 11:04:42,6620,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,42.516666666666666
ODT904,2021-07-02 14:17:55,2021-07-02 14:44:12,6550,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.283333333333335
ODT904,2021-07-07 09:44:46,2021-07-07 10:07:15,4070,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.483333333333334
ODT904,2021-07-09 13:41:10,2021-07-09 14:30:09,6260,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,48.983333333333334
ODT904,2021-07-13 13:38:19,2021-07-13 14:19:56,4450,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,41.61666666666667
ODT904,2021-07-15 14:21:35,2021-07-15 15:15:48,5140,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,54.21666666666667
ODT904,2021-07-20 12:13:41,2021-07-20 12:45:44,7220,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.05
ODT904,2021-07-23 18:19:34,2021-07-23 19:15:36,6980,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,56.03333333333333
ODT904,2021-07-27 19:18:52,2021-07-27 19:44:01,5740,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,25.15
ODT904,2021-07-30 13:58:47,2021-07-30 14:36:11,5520,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,37.4
ODT904,2021-08-03 18:33:57,2021-08-03 18:57:52,2900,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.916666666666668
ODT904,2021-08-06 15:48:05,2021-08-06 16:14:13,5190,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.133333333333333
ODT904,2021-08-11 09:15:58,2021-08-11 09:39:45,5770,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.783333333333335
ODT904,2021-08-15 09:20:30,2021-08-15 09:43:00,5720,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.5
ODT904,2021-08-18 06:19:54,2021-08-18 06:45:52,3430,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,25.966666666666665
ODT904,2021-08-21 09:55:51,2021-08-21 10:20:46,5810,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,24.916666666666668
ODT904,2021-08-25 09:27:06,2021-08-25 09:50:51,6660,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,23.75
ODT904,2021-08-27 13:45:33,2021-08-27 14:23:40,5600,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,38.11666666666667
ODT904,2021-09-01 09:35:46,2021-09-01 09:57:06,3650,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,21.333333333333332
ODT904,2021-09-03 14:39:44,2021-09-03 15:12:29,5510,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,32.75
ODT904,2021-09-08 17:10:46,2021-09-08 17:37:03,6360,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,26.283333333333335
ODT904,2021-09-10 14:37:21,2021-09-10 16:02:11,5450,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,84.83333333333333
ODT904,2021-09-14 21:18:21,2021-09-14 22:19:04,3130,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,60.71666666666667
ODT904,2021-09-18 08:46:37,2021-09-18 09:07:23,5840,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,20.766666666666666
ODT904,2021-09-22 22:42:51,2021-09-22 23:20:59,5250,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,38.13333333333333
ODT904,2021-09-24 14:41:48,2021-09-24 15:11:39,5730,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,29.85
ODT904,2021-09-28 13:45:43,2021-09-28 14:25:46,3300,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,40.05
ODT904,2021-10-01 13:09:49,2021-10-01 14:03:03,5240,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,53.233333333333334
ODT904,2021-10-06 10:14:55,2021-10-06 10:40:26,6090,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,25.516666666666666
ODT904,2021-10-09 08:47:21,2021-10-09 09:09:49,4490,AGUAS DE HELICONIA S.A  E S P,Heliconia,RESIDUOS RESIDENCIALES,22.466666666666665
